epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2147,1.57789,1.97107,1.98987,0.16546,0.10096,0.09607,0.02708,2.80041,3.39992,4.03514,0.00331183,0.00331183,0.0701935
2,36.7116,1.55099,1.72269,1.96622,0.21528,0.36298,0.17079,0.05085,2.66325,2.81867,3.47296,0.00651359,0.00651359,0.040062
3,53.7209,1.49407,1.63755,1.90774,0.54988,0.57853,0.56172,0.25634,1.91091,2.00984,2.70705,0.00958335,0.00958335,0.0097984
4,71.2697,1.41373,1.51703,1.83205,0.75807,0.66026,0.65172,0.21438,2.24972,2.05076,3.22573,0.009406,0.009406,0.009406
5,89.0008,1.38243,1.41946,1.79605,0.58243,0.44498,0.443,0.1348,2.46272,2.23823,3.60952,0.009208,0.009208,0.009208
6,106.71,1.32292,1.33762,1.74016,0.57252,0.58146,0.49981,0.15134,2.71566,2.06723,4.03991,0.00901,0.00901,0.00901
7,124.495,1.29255,1.27751,1.728,0.7585,0.73067,0.7934,0.36952,1.78806,1.46766,2.40515,0.008812,0.008812,0.008812
8,141.826,1.2583,1.23914,1.68664,0.81869,0.71047,0.733,0.35207,1.72073,1.48076,2.37914,0.008614,0.008614,0.008614
9,159.12,1.25488,1.20946,1.68336,0.55091,0.75886,0.69306,0.28534,1.97087,1.55206,2.69032,0.008416,0.008416,0.008416
10,176.141,1.2233,1.17105,1.645,0.66196,0.49813,0.58731,0.22323,2.19187,2.3536,3.08035,0.008218,0.008218,0.008218
11,193.082,1.20903,1.12655,1.64169,0.7778,0.73555,0.85486,0.41478,1.7196,1.19609,2.26205,0.00802,0.00802,0.00802
12,209.625,1.21512,1.10065,1.635,0.62525,0.76068,0.79655,0.34259,1.94802,1.46412,2.57637,0.007822,0.007822,0.007822
13,226.63,1.16717,1.0763,1.60874,0.77608,0.87459,0.86987,0.44321,1.67503,0.96194,2.18883,0.007624,0.007624,0.007624
14,244.211,1.17182,1.04962,1.60902,0.87471,0.84054,0.9343,0.41056,1.80758,0.9948,2.39117,0.007426,0.007426,0.007426
15,262.588,1.1364,1.01498,1.58553,0.75161,0.75881,0.81114,0.41057,1.5884,1.09138,2.20852,0.007228,0.007228,0.007228
16,280.466,1.14247,1.01884,1.58478,0.87363,0.61229,0.76664,0.38079,1.68881,1.19064,2.2479,0.00703,0.00703,0.00703
17,297.918,1.1062,0.99765,1.56225,0.7996,0.83093,0.87233,0.44836,1.61381,1.13234,2.24254,0.006832,0.006832,0.006832
18,315.368,1.09452,0.94474,1.54826,0.80448,0.69434,0.80539,0.43694,1.57613,1.21944,2.18608,0.006634,0.006634,0.006634
19,332.82,1.08536,0.92364,1.53624,0.87577,0.82925,0.87222,0.47618,1.45298,0.87482,1.98641,0.006436,0.006436,0.006436
20,350.321,1.08278,0.93176,1.53662,0.87565,0.74954,0.86273,0.44514,1.53696,0.86352,2.10183,0.006238,0.006238,0.006238
21,367.775,1.06718,0.89066,1.52176,0.85137,0.85353,0.92534,0.50381,1.4373,0.86546,2.00791,0.00604,0.00604,0.00604
22,385.228,1.0205,0.86923,1.49304,0.83336,0.92575,0.94466,0.50848,1.40051,0.73689,2.014,0.005842,0.005842,0.005842
23,402.723,1.03696,0.86957,1.49176,0.88113,0.86645,0.90891,0.51534,1.35276,0.75588,1.92148,0.005644,0.005644,0.005644
24,420.26,1.01341,0.86274,1.48222,0.90598,0.81883,0.89876,0.43392,1.80333,1.06381,2.45491,0.005446,0.005446,0.005446
25,437.721,1.00548,0.82263,1.47597,0.90856,0.80369,0.8647,0.49578,1.37592,0.97617,1.97847,0.005248,0.005248,0.005248
26,455.151,0.99947,0.81766,1.46349,0.90386,0.87927,0.87836,0.50628,1.39976,0.80053,1.9646,0.00505,0.00505,0.00505
27,472.677,1.00141,0.82034,1.47413,0.90486,0.90625,0.93318,0.53062,1.26687,0.74165,1.87213,0.004852,0.004852,0.004852
28,489.227,0.97383,0.79172,1.43954,0.91451,0.85843,0.91837,0.517,1.41974,0.72991,2.02017,0.004654,0.004654,0.004654
29,505.829,0.96339,0.79916,1.43748,0.79869,0.81197,0.81709,0.50131,1.35607,0.86165,1.99013,0.004456,0.004456,0.004456
30,522.344,0.96237,0.7724,1.44388,0.82426,0.82587,0.90189,0.52365,1.34045,0.79612,1.92715,0.004258,0.004258,0.004258
31,538.828,0.95145,0.76354,1.4334,0.89256,0.89511,0.92596,0.56335,1.28368,0.66707,1.85,0.00406,0.00406,0.00406
32,555.731,0.92735,0.74101,1.40746,0.8773,0.81997,0.85586,0.51063,1.34469,0.87574,1.92969,0.003862,0.003862,0.003862
33,573.317,0.93778,0.75231,1.41443,0.83615,0.80727,0.85009,0.47535,1.35718,0.84928,2.00686,0.003664,0.003664,0.003664
34,590.84,0.92582,0.74092,1.41794,0.88036,0.85439,0.86645,0.52848,1.2832,0.79977,1.88597,0.003466,0.003466,0.003466
35,608.349,0.91939,0.73397,1.40342,0.89273,0.83572,0.89877,0.5336,1.38929,0.89167,2.04733,0.003268,0.003268,0.003268
36,625.878,0.92095,0.72728,1.40175,0.91919,0.83828,0.90645,0.52361,1.44048,0.72299,2.11012,0.00307,0.00307,0.00307
37,643.355,0.89347,0.7124,1.38554,0.89416,0.87901,0.89799,0.55471,1.30437,0.71885,1.97367,0.002872,0.002872,0.002872
38,660.899,0.87466,0.67481,1.37116,0.90458,0.88236,0.91287,0.55132,1.27534,0.8008,1.88224,0.002674,0.002674,0.002674
39,678.32,0.87786,0.67588,1.36462,0.82689,0.85176,0.89995,0.53496,1.33721,0.815,2.01704,0.002476,0.002476,0.002476
40,695.819,0.86094,0.66361,1.35461,0.8866,0.90598,0.92703,0.5638,1.2924,0.70925,1.93341,0.002278,0.002278,0.002278
41,713.663,0.60023,0.40124,1.29137,0.91607,0.83974,0.91415,0.5172,1.40183,0.73092,2.08871,0.00208,0.00208,0.00208
42,730.961,0.56308,0.33638,1.26208,0.91194,0.83795,0.94365,0.57917,1.32748,0.69354,2.00538,0.001882,0.001882,0.001882
43,748.066,0.53753,0.31725,1.24015,0.85818,0.82675,0.91658,0.58801,1.2409,0.80274,1.87946,0.001684,0.001684,0.001684
44,765.132,0.52271,0.3083,1.23404,0.92545,0.80911,0.92407,0.60106,1.17381,0.68672,1.82339,0.001486,0.001486,0.001486
